Report generated on: 11-12-2025 16:08:58
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","total energy production (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-1-WORL-QBTU.A","    World","171.6146753241932","173.89925151247476","178.1239309339962","180.90137270109483","267.6591695814419","275.3135062978429","284.6360248538846","291.3971029819766","304.2314214488103","311.45089595502236","316.72765007029165","316.5792993767697","337.21658272016333","336.6870383964785","344.0731940785011","350.6510111095038","359.4840456760101","364.2623656782802","367.9146194954176","366.23857990891935","377.7764725320546","383.91526267919255","386.5036750001155","405.0391589702302","425.00019592673283","439.6279598340211","452.1388932522065","460.7495063099677","473.1934114775623","470.22208573366265","494.1282956548815","508.30687770490897","519.7314302547453","526.0251021504237","534.5145672472362","539.4446037828773","533.7755105682817","546.2827328074865","567.542179291139","578.7515533314637","554.1770860922504","571.4681905746211","585.9212836455828","595.4663942657647"
"INTL.44-1-AFG-QBTU.A","        Afghanistan","0.06760131850863463","0.08764719386592894","0.09008927029309094","0.09441034381678293","0.09450725425545241","0.11555098915694102","0.11553462790552083","0.10953789623027672","0.11625197329898529","0.11396073056042635","0.11354836742266006","0.01570797066503946","0.012864723020569258","0.012834694302101516","0.012799954083633776","0.00889658400024338","0.009795365160264259","0.009642499343003912","0.009567432227075097","0.009547639933506739","0.009588585633104276","0.004062587134286538","0.004158117559980161","0.003581876501527526","0.003340295001805852","0.0034058060695128125","0.0036057614929594214","0.00884080740393569","0.010566055322360867","0.013653566265245344","0.02261120189775645","0.03233214210001674","0.04294607934511457","0.04566146079015372","0.056153755323441516","0.05048054840860243","0.05563935125001056","0.05111533056166276","0.06611073221765472","0.06966225797684825","0.0420672111951586","0.05713826889513631","0.09625566998044827","0.018028597596191385"
"INTL.44-1-ALB-QBTU.A","        Albania","0.03365908006074624","0.03618206448065463","0.03688367341634645","0.039582576597567656","0.1659401369433554","0.15690301915437788","0.14991386185151925","0.14228962687259622","0.12844739135756605","0.1287960235209702","0.08439423636645166","0.06518837074794666","0.045740637628116726","0.039611478844620074","0.03843370229108213","0.03676591095588939","0.04227204692022856","0.0345419716278969","0.03542355076292349","0.03391027649090031","0.030094565791333835","0.026251750611750755","0.02946297290992917","0.0329148231690843","0.036263414788580306","0.035784081887110956","0.0391309891557171","0.033215365832332394","0.03754236079689157","0.04192382306008746","0.05618421221928056","0.0513217456722704","0.05832716692540783","0.07282982554772395","0.07263755752345889","0.07450909627243314","0.07212255300951101","0.05675836333784691","0.06843321595962672","0.06307162152753573","0.06111286881398201","0.07185605765354378","0.06644294964918411","0.07214124446786448"
"INTL.44-1-DZA-QBTU.A","        Algeria","0.48590213118606473","0.9124356087978475","1.113582262126364","1.5518844294583864","3.7034666647961396","3.8133812067118753","3.942575321746913","4.212716210183012","4.372718778581497","4.510002158497013","4.721293799377582","4.8628394386752944","4.902583495938518","4.803771058668614","4.647496905022909","4.9676899806003","5.212737145507482","5.54187147586969","5.731968647695262","5.926021457954171","6.1223473528024","6.086820063043165","6.334404716597604","6.791966347470439","6.922112310424839","7.41908000950411","7.316711094484949","7.074303090570039","7.176599286538058","6.94284541327461","6.926746101147456","6.825358598388223","6.995648902757569","6.508413554001207","6.560219309839396","6.694887106865371","6.908778514489908","6.826684772620875","6.750725487591569","6.470125327717387","5.969425445038682","6.731876772074095","6.724577552543103","6.818076456564675"
"INTL.44-1-ASM-QBTU.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000003070927469815146","0.00000682428326625588","0.00000682428326625588","0.00000682428326625588","0.00001023642489938382","0.0000170607081656397","0.0000170607081656397","0.0000170607081656397","0.0000170607081656397","0.0000170607081656397","0.000017221590643641682","0.0000170607081656397"
"INTL.44-1-AGO-QBTU.A","        Angola","0.011440835065557807","0.011022035065557809","0.012517284979876765","0.014611284979876763","0.4497491695952605","0.5097583170026472","0.6180721819418722","0.774826467054734","0.9857916748009469","0.9954787063903767","1.034708806110671","1.0829708933669187","1.1660595700663932","1.0957052133150411","1.0683279533029977","1.3837073308868928","1.4978060708849965","1.5339057776447227","1.5760224138837142","1.6144931107935137","1.6141396475191967","1.5956922447851913","1.9341717753839545","1.8982270740553036","2.1448638459836626","2.6784181007449006","3.0016094004967058","3.617584466542293","4.212004839802614","4.0442079270493085","4.1148090705614395","3.791253862974046","3.873869413580886","3.9031900967779176","3.771990385329456","3.920913502365535","3.902734922555041","3.847786148376119","3.7266875145547833","3.425555927187184","3.0329337789043644","2.687827976147322","2.7518077108394023","2.7496385517742574"
"INTL.44-1-ATA-QBTU.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000682428326625588","0.00000682428326625588","0.00000682428326625588","0.00000682428326625588","0.00001364856653251176","0.00001364856653251176","0.00001364856653251176","0.00000170607081656397","0.00000170607081656397","0.00000170607081656397","0.00000341214163312794","0.00000341214163312794","0","0","0","0","0","0","0"
"INTL.44-1-ATG-QBTU.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.82428326625588e-7","0.00000170607081656397","0.00000170607081656397","0.000002047284979876764","0.000002047284979876764","0.000018425564818890877","0.0000170607081656397","0.000020814063962080435","0.0000341214163312794","0.00004435784123066322","0.00005459426613004704","0.00006653676184599483","0.00007847925756194262","0.00007847925756194262"
"INTL.44-1-ARG-QBTU.A","        Argentina","0.38201812894227904","0.4542443130717888","0.5067382935489808","0.5694555954733341","1.737163014042126","1.7110002343207327","1.7085958866666568","1.690743958103252","1.8096648902540415","1.9145066583580885","1.908511664123142","2.020583913716912","2.1753673368512643","2.3286931155151906","2.550597115598673","2.7572984866650168","2.9454466721319488","3.110655444004627","3.211384737672205","3.3483336881591113","3.403872663482067","3.5188690019137896","3.4113075756175135","3.5508442004866003","3.6177893860786043","3.541011980119459","3.5800860496917664","3.473025250805441","3.4699199918879793","3.3339572607107417","3.2798294381987496","3.12754958311262","3.036468287929094","2.933509109283802","2.928924455437746","2.957384656253684","3.063121137740575","3.054147141704398","3.132990184255676","3.2483599615888097","3.0326129063417047","3.14347379467862","3.4269485183697572","3.5021948179493654"
